siteID,depMEAN_NO2__Plume,depMEAN_VOC__Plume,depMEAN_pm_10__Plu,depMEAN_pm_1__Plum,depMEAN_pm_2_5__Pl,siteID_INT,p_XCOORD,p_YCOORD,pG_tri_raster_val,pG_slope_raster_val,pG_hw_raster_val,pG_hs_raster_val,pG_rr_raster_val,pD_parkd_none_dist,pD_waterd_none_dist,pG_park_raster_val,pG_waterd_raster_val,pG_elev_raster_val,pD_soundd_none_dist,pF_trid_none_dist,pE_hwd_none_dist,pE_hsd_none_dist,pE_rrd_none_dist
204,27.0,0.0,3.0,3.0,4.0,204,1145025.994369477,702558.6189501435,0.0,0.3240438401699066,2.0,7.0,0.0,1.2295322597589518,490.2010475192734,11.0,3.0,96.8511734008789,13906.155883227468,6659.911510558491,1794.9900866355347,55.27670899493999,6530.625691320058
205,26.0,1.0,3.0,3.0,4.0,205,1151793.521188721,702390.0763082206,5.0,0.32389387488365173,4.0,6.0,5.0,1523.717226537118,1679.442085359155,10.0,3.0,118.30500793457031,8533.887848400978,3761.5653827607307,1101.60575335289,9.72181367282252,3455.5392542229083
206,28.0,1.0,3.0,3.0,4.0,206,1150685.5952549726,702419.5719841421,5.0,0.5020570158958435,4.0,6.0,5.0,2094.45000746462,1405.2139590036181,8.0,4.0,112.08028411865234,9640.367428994587,3582.4042922138437,2209.187375460415,44.224381062570984,3746.4560873303217
207,26.0,1.0,3.0,3.0,4.0,207,1151432.0412686318,702401.6517443955,5.0,0.15436600148677826,4.0,6.0,5.0,1670.8620293790577,1514.4821793218903,9.0,3.0,117.67298126220703,8895.241898891674,3669.328568636313,1463.0963903208778,23.56324091859749,3535.2190276038145
208,26.0,1.0,16.0,3.0,4.0,208,1144439.5860934705,702577.473571226,0.0,0.016703549772500992,2.0,7.0,0.0,0.0,1019.5452685948094,12.0,3.0,96.17774963378906,13815.528312673447,7163.695740895296,1208.756185459214,58.79019584461561,6944.135719384116
209,20.0,1.0,0.0,0.0,0.0,209,1137649.3637815565,702752.4253210574,0.0,0.6411377191543579,2.0,7.0,0.0,2186.193421096074,1859.1051251193317,7.0,4.0,95.91584014892578,7204.389417452302,12546.097485002863,4173.514328269241,9.600049404869651,7163.3782053118675
210,24.0,1.0,3.0,3.0,4.0,210,1137318.664311722,702762.7412453145,0.0,0.8002697229385376,2.0,7.0,0.0,1855.4020827193444,1737.7261900127617,7.0,4.0,100.01864624023438,6889.7192412109935,12834.88572105063,4449.458197397851,7.2207916223059865,6849.224501847811
211,26.0,1.0,47.0,3.0,6.0,211,1148400.2861773074,702483.0498755574,1.0,0.7171016335487366,2.0,6.0,2.0,1063.475336902196,2316.5219482298016,9.0,5.0,111.06340789794922,11912.419551534504,4230.712125746298,2643.1398565006575,24.143300015600396,4532.833813953456
212,0.0,1.0,18.0,3.0,4.0,212,1138565.4951513857,702733.672733888,0.0,0.2485819011926651,2.0,9.0,0.0,2473.078391518508,2385.7371660415583,12.0,4.0,93.23882293701172,8079.936058281964,11763.092865371138,3403.908597117625,15.738574012506927,8037.143250813337
213,28.0,1.0,3.0,3.0,4.0,213,1150826.589067474,702424.0736155659,5.0,0.5365908145904541,4.0,6.0,5.0,2031.6829074417476,1407.0502263964438,8.0,4.0,112.8741683959961,9499.524772605451,3594.9611548190974,2068.7578007593734,34.97833613351266,3711.2319405573253
214,23.0,1.0,3.0,3.0,4.0,214,1146800.7739563882,702527.6744582206,0.0,2.616567850112915,2.0,7.0,0.0,401.7429808283242,1166.7427359567187,9.0,5.0,114.89213562011719,13193.581473579934,5259.680865189049,2817.4794342630616,24.807022492369367,5376.7697252616035
