"esdcode","esdname","districtcode","schoolcode","districtname","schoolname","subject","indexall","indexamericanindian","indexasian","indexblack","indexhispanic","indexwhite","indexspecialed","indexltdenglish","indexlowincome","mettargetbeforeshall","mettargetbeforeshamerica","mettargetbeforeshasian","mettargetbeforeshblack","mettargetbeforeshhispanic","mettargetbeforeshwhite","mettargetbeforeshspecialed","mettargetbeforeshltdenglish","mettargetbeforeshlowincome","previousweightedcemetall","previousweightedcemetame","previousweightedcemetasian","previousweightedcemetblack","previousweightedcemethispanic","previousweightedcemetwhite","previousweightedcemetspecialed","previousweightedcemetltd","previousweightedcemetlowincome","reductionpercentall","reductionpercentamericanindian","reductionpercentasian","reductionpercentblack","reductionpercenthispanic","reductionpercentwhite","reductionpercentspecialed","reductionpercentltdenglish","reductionpercentlowincome","met10percentflagall","met10percentflagamericanindian","met10percentflagasian","met10percentflagblack","met10percentflaghispanic","met10percentflagwhite","met10percentflagspecialed","met10percentflagltdenglish","met10percentflaglowincome","metotherindicatorflagall","metotherindicatorflagame","metotherindicatorflagasian","metotherindicatorflagblack","metotherindicatorflaghispanic","metotherindicatorflagwhite","metotherindicatorflagspecialed","metotherindicatorflagltd","metotherindicatorflaglowincome","mettargetaftershflagall","mettargetaftershflagamer","mettargetaftershflagasian","mettargetaftershflagblack","mettargetaftershflaghispanic","mettargetaftershflagwhite","mettargetaftershflagspecialed","mettargetaftershflagltdenglish","mettargetaftershflaglowincome"
"29801","Northwest Educational Service District 189","29103","1849","Anacortes School District","Home Education Partnership","Reading",,,,,,,,,,"N<Required","N/A","N<Required","N<Required","N<Required","N<Required","N<Required","N<Required","N<Required",,,"50",,,,,,,,,,,,,,,,,,"false",,,,"false",,,,,,,,,,,,"N<Required","N/A","N<Required","N<Required","N<Required","N<Required","N<Required","N<Required","N<Required"
"29801","Northwest Educational Service District 189","29103","3252","Anacortes School District","Island View Elementary","Math","18.3",,,,,,,,"15.1","Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes"
"29801","Northwest Educational Service District 189","29103","3252","Anacortes School District","Island View Elementary","Reading","1.4",,,,,,,,"-0.3","Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","No",,,,,,,,,"69",,,,,,,,,"-10.3",,,,,,,,,"false",,,,,,,,,"true","Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes"
"29801","Northwest Educational Service District 189","29103","3057","Anacortes School District","Mount Erie Elementary","Math","28.7",,,,,,,,,"Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes"
"29801","Northwest Educational Service District 189","29103","3057","Anacortes School District","Mount Erie Elementary","Reading",,,,,,,,,,"Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes"
"29801","Northwest Educational Service District 189","31016","2523","Arlington School District","Arlington High School","Math","20.3",,,,"17.2","22.6","-30.5",,"14.9","Yes","N<Required","N<Required","N<Required","Yes","Yes","No","N<Required","Yes",,,,,,,"17.8",,,,,,,,,"-0.8",,,,,,,,,"false",,,,,,,,,"true",,,"Yes","N<Required","N<Required","N<Required","Yes","Yes","No","N<Required","Yes"
"29801","Northwest Educational Service District 189","31016","2523","Arlington School District","Arlington High School","Reading","3.9",,,,"5.6","6.5","-43.2",,"2","Yes","N<Required","N<Required","N<Required","Yes","Yes","No","N<Required","Yes",,,,,,,"46.7",,,,,,,,,"-36.8",,,,,,,,,"false",,,,,,,,,"true",,,"Yes","N<Required","N<Required","N<Required","Yes","Yes","No","N<Required","Yes"
"29801","Northwest Educational Service District 189","31016","4327","Arlington School District","Eagle Creek Elementary","Math","22.2",,,,,"26",,,"19.4","Yes","N<Required","N<Required","N<Required","Yes","Yes","N<Required","N<Required","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N<Required","N<Required","N<Required","Yes","Yes","N<Required","N<Required","Yes"
"29801","Northwest Educational Service District 189","31016","4327","Arlington School District","Eagle Creek Elementary","Reading","-5.7",,,,,"-1.6",,,"-10.9","No","N<Required","N<Required","N<Required","No","No","N<Required","N<Required","No","74.4",,,,,"76.2",,,"60.5","-10.6",,,,,"-4.4",,,"-7","false",,,,,"false",,,"false","true",,,,,"true",,,"true","No","N<Required","N<Required","N<Required","No","No","N<Required","N<Required","No"
"29801","Northwest Educational Service District 189","31016","5010","Arlington School District","Haller Middle School","Math","7.6",,,,"7.2","9.6","-7.5",,"3.9","Yes","N<Required","Yes","N<Required","Yes","Yes","No","N<Required","Yes",,,,,,,"30.6",,,,,,,,,"-8.1",,,,,,,,,"false",,,,,,,,,"true",,,"Yes","N<Required","Yes","N<Required","Yes","Yes","No","N<Required","Yes"
"29801","Northwest Educational Service District 189","31016","5010","Arlington School District","Haller Middle School","Reading","5.5",,,,"10.9","7.9","-6.7",,"6","Yes","N<Required","Yes","N<Required","Yes","Yes","No","N<Required","Yes",,,,,,,"51",,,,,,,,,"-12.3",,,,,,,,,"false",,,,,,,,,"true",,,"Yes","N<Required","Yes","N<Required","Yes","Yes","No","N<Required","Yes"
"29801","Northwest Educational Service District 189","31016","4436","Arlington School District","Kent Prairie Elementary","Math","29.9",,,,,"31.9",,,"31.3","Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes"
"29801","Northwest Educational Service District 189","31016","4436","Arlington School District","Kent Prairie Elementary","Reading","5.4",,,,,"6.9",,,"8.7","Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes"
"29801","Northwest Educational Service District 189","31016","4573","Arlington School District","Pioneer Elementary","Math","17.4",,,,,"22.4",,,"13.7","Yes","N<Required","N<Required","N<Required","Yes","Yes","Yes","N<Required","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N<Required","N<Required","N<Required","Yes","Yes","Yes","N<Required","Yes"
"29801","Northwest Educational Service District 189","31016","4573","Arlington School District","Pioneer Elementary","Reading","-3.4",,,,,"-0.1",,,"-5.4","No","N<Required","N<Required","N<Required","Yes","No","No","N<Required","No","75.9",,,,,"79.2",,,"51.6","-9",,,,,"-15.4",,,"12.8","false",,,,,"false",,,"true","true",,,,,"true",,,"true","No","N<Required","N<Required","N<Required","Yes","No","No","N<Required","Yes"
"29801","Northwest Educational Service District 189","31016","3124","Arlington School District","Post Middle School","Math","5.2",,,,,"7.4","-32.3",,"1.1","Yes","N<Required","N<Required","N<Required","Yes","Yes","No","N<Required","Yes",,,,,,,"25.7",,,,,,,,,"-20.7",,,,,,,,,"false",,,,,,,,,"true",,,"Yes","N<Required","N<Required","N<Required","Yes","Yes","No","N<Required","Yes"
"29801","Northwest Educational Service District 189","31016","3124","Arlington School District","Post Middle School","Reading","-4.1",,,,,"-2.5","-35.4",,"-8.1","No","N<Required","N<Required","N<Required","Yes","No","No","N<Required","No","79.4",,,,,"80.9","30",,"69.1","-41.9",,,,,"-47.2","-7.8",,"-29","false",,,,,"false","false",,"false","true",,,,,"true","true",,"true","No","N<Required","N<Required","N<Required","Yes","No","No","N<Required","No"
"29801","Northwest Educational Service District 189","31016","4154","Arlington School District","Presidents Elementary","Math","1.1",,,,,,"-10.6",,"2.5","Yes","N<Required","N<Required","N<Required","N<Required","Yes","No","N<Required","Yes",,,,,,,"23.5",,,,,,,,,"-2.1",,,,,,,,,"false",,,,,,,,,"true",,,"Yes","N<Required","N<Required","N<Required","N<Required","Yes","No","N<Required","Yes"
"29801","Northwest Educational Service District 189","31016","4154","Arlington School District","Presidents Elementary","Reading","-8.7",,,,,,"-43.7",,"-8.7","No","N<Required","N<Required","N<Required","N<Required","No","No","N<Required","No","68.9",,,,,,"20.6",,"57.4","-3.6",,,,,,"-1.4",,"0.9","false",,,,,,"false",,"false","true",,,,,,"true",,"true","No","N<Required","N<Required","N<Required","N<Required","No","No","N<Required","No"
"29801","Northwest Educational Service District 189","31016","1714","Arlington School District","Stillaguamish School","Math",,,,,,,,,,"No","N<Required","N<Required","N<Required","N<Required","No","N<Required","N/A","N<Required",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No","N<Required","N<Required","N<Required","N<Required","No","N<Required","N/A","N<Required"
"29801","Northwest Educational Service District 189","31016","1714","Arlington School District","Stillaguamish School","Reading","-4.3",,,,,,,,,"No","N<Required","N<Required","N<Required","N<Required","No","N<Required","N/A","N<Required","50",,,,,,,,,"14.1",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"Yes","N<Required","N<Required","N<Required","N<Required","No","N<Required","N/A","N<Required"
