EsdCode,EsdName,DistrictCode,SchoolCode,DistrictName,SchoolName,Subject,IndexAll,IndexAmericanIndian,IndexAsian,IndexBlack,IndexHispanic,IndexWhite,IndexPacificIslander,IndexTwoOrMoreRaces,IndexSpecialEd,IndexLtdEnglish,IndexLowIncome,MetTargetAll,MetTargetAmericanIndian,MetTargetAsian,MetTargetBlack,MetTargetHispanic,MetTargetWhite,MetTargetPacificIslander,MetTargetTwoOrMoreRaces,MetTargetSpecialEd,MetTargetLtdEnglish,MetTargetLowIncome
17801,Puget Sound Educational Service District 121,27010,5066,Tacoma School District,Helen B. Stafford Elementary,Math,-29.9,,-10,-30.3,-28.7,-0.3,-21.4,-2,-64.8,-50.4,-33.6,No,N<Required,No,N<Required,No,No,N<Required,N<Required,N<Required,No,No
17801,Puget Sound Educational Service District 121,27010,5066,Tacoma School District,Helen B. Stafford Elementary,Reading,-35.3,,-15.8,-59.2,-29.2,-0.5,-21.4,-9.5,-64.8,-56.5,-36.9,No,N<Required,No,N<Required,No,No,N<Required,N<Required,N<Required,No,No
17801,Puget Sound Educational Service District 121,27010,2338,Tacoma School District,Jason Lee,Math,-61.9,-77.7,-30.5,-76.8,-50.3,-40.3,,-76.7,,,-74.4,No,N<Required,N<Required,No,No,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2338,Tacoma School District,Jason Lee,Reading,-55,-45.5,-19.9,-64.8,-36.9,-38.3,-60.5,-69.2,,,-65.9,No,N<Required,N<Required,No,No,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2103,Tacoma School District,Jefferson,Math,-32.5,,0,,-8.1,-26,,0,,,-35.6,No,N<Required,N<Required,No,N<Required,No,N/A,N/A,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2103,Tacoma School District,Jefferson,Reading,-30.4,,0,,-8.1,-21,,0,-59.6,,-35.6,No,N<Required,N<Required,No,N<Required,No,N/A,N/A,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2036,Tacoma School District,Larchmont,Math,-54.4,-33.3,-26,,-46.1,-34.9,,0,,,-56.3,No,N<Required,N<Required,No,No,No,N<Required,N<Required,No,No,No
17801,Puget Sound Educational Service District 121,27010,2036,Tacoma School District,Larchmont,Reading,-49.7,0,-42.1,,-43.5,-24.5,-58.5,0,,-65.7,-50,No,N<Required,N<Required,No,No,No,N<Required,N<Required,No,No,No
17801,Puget Sound Educational Service District 121,27010,2215,Tacoma School District,Lincoln,Math,,,-74.7,,,,-75,,,,-91,No,N<Required,No,No,No,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2215,Tacoma School District,Lincoln,Reading,-72.1,0,-64.4,-71.9,-74.9,-55.7,-39.4,-36.2,,,-71.8,No,N<Required,No,No,No,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2771,Tacoma School District,Lister,Math,-57.6,,-29.3,,,,-74.8,-75,,-69.4,-60.5,No,N<Required,No,No,No,No,N<Required,N<Required,No,No,No
