id,newid,Y15_WP,Y15_BP,Y15_NP,Y15_AP,Y15_PP,Y15_OP,Y15_MP,Y15_MOP,Y15_MOEP
1500000US530530718061,530718061,0.357533747,0.124771981,0.05144108,0.005107625,0.119299526,0.211966436,0.129879606,0,0.129879606
1500000US530530718062,530718062,0.555090656,0.281032078,0.00488145,0.050209205,0,0.058577406,0.050209205,0,0.050209205
1500000US530530718071,530718071,0.471451876,0.205546493,0.032626427,0.133224579,0.012506797,0.003806417,0.140837412,0.008700381,0.132137031
1500000US530530718072,530718072,0.54887218,0.094274147,0,0.106419896,0.054366686,0.091382302,0.104684789,0.006940428,0.097744361
1500000US530530718081,530718081,0.620391705,0.089861751,0.009792627,0,0.00921659,0.215437788,0.055299539,0,0.055299539
1500000US530530718082,530718082,0.636263736,0.10989011,0.014835165,0.169230769,0.014285714,0.031868132,0.023626374,0,0.023626374
1500000US530530718083,530718083,0.370253165,0.069620253,0,0.03164557,0,0.261075949,0.267405063,0,0.267405063
1500000US530530719011,530719011,0.620441989,0.106629834,0.041436464,0.083425414,0,0.097790055,0.050276243,0,0.050276243
1500000US530530719012,530719012,0.576023392,0.039473684,0,0.111111111,0.027777778,0.033625731,0.211988304,0,0.211988304
1500000US530530719013,530719013,0.647196262,0,0,0.214953271,0.122663551,0.015186916,0,0,0
1500000US530530719014,530719014,0.674714104,0.179161372,0.046378653,0.042566709,0,0,0.057179161,0,0.057179161
1500000US530530719021,530719021,0.611389237,0.055068836,0.008135169,0.112640801,0,0.033166458,0.179599499,0.048185232,0.131414268
1500000US530530719022,530719022,0.974545455,0.025454545,0,0,0,0,0,0,0
1500000US530530719023,530719023,0.886792453,0.080617496,0.019725557,0,0,0,0.012864494,0.012864494,0
1500000US530530719024,530719024,0.954545455,0,0,0.045454545,0,0,0,0,0
1500000US530530719025,530719025,0.934579439,0,0,0,0,0.015186916,0.050233645,0,0.050233645
1500000US530530720001,530720001,0.682030728,0.039412158,0,0.022044088,0,0.203740815,0.052772211,0,0.052772211
1500000US530530720002,530720002,0.702922078,0.170454545,0.026785714,0.017045455,0.059253247,0,0.023538961,0,0.023538961
1500000US530530720003,530720003,0.603818616,0.001193317,0,0.060859189,0,0.163484487,0.170644391,0,0.170644391
1500000US530530720004,530720004,0.551413882,0.024421594,0.062982005,0.042416452,0.014138817,0.287917738,0.016709512,0,0.016709512
1500000US530530721051,530721051,0.552177486,0.078060805,0.00903862,0.265406738,0,0,0.095316352,0,0.095316352
1500000US530530721052,530721052,0.748367953,0.059347181,0.004154303,0.091988131,0.004747774,0,0.091394659,0,0.091394659
1500000US530530721053,530721053,0.669014085,0.171830986,0.036619718,0.077464789,0,0.009859155,0.035211268,0,0.035211268
1500000US530530721054,530721054,0.671471471,0.069069069,0,0.142942943,0.007807808,0.019219219,0.089489489,0.024624625,0.064864865
1500000US530530721061,530721061,0.770786517,0.085393258,0,0.042696629,0,0.050561798,0.050561798,0.035955056,0.014606742
1500000US530530721062,530721062,0.764465623,0,0.078965283,0.100068074,0,0,0.056501021,0,0.056501021
1500000US530530721063,530721063,0.645777778,0.162666667,0.004888889,0.045777778,0.012444444,0,0.128444444,0,0.128444444
1500000US530530721064,530721064,0.489980608,0.268907563,0,0.0885585,0,0.106658048,0.045895281,0,0.045895281
1500000US530530721071,530721071,0.742582897,0.063699825,0,0.043630017,0,0.04973822,0.10034904,0,0.10034904
1500000US530530721072,530721072,0.803610108,0.045487365,0,0.066425993,0,0.027436823,0.057039711,0,0.057039711
1500000US530530721073,530721073,0.599785408,0.096566524,0,0.144849785,0,0.015021459,0.143776824,0,0.143776824
1500000US530530721074,530721074,0.677824268,0.064156206,0,0.094839609,0,0.163179916,0,0,0
1500000US530530721081,530721081,0.498883929,0.159598214,0,0.203125,0,0,0.138392857,0,0.138392857
1500000US530530721082,530721082,0.595561036,0.104808878,0.048088779,0.065351418,0.130702836,0.022194821,0.033292232,0,0.033292232
1500000US530530721083,530721083,0.74260355,0.045857988,0,0.063609467,0,0,0.147928994,0.075443787,0.072485207
1500000US530530721084,530721084,0.778632866,0.096876415,0.028066999,0.020371209,0.041647804,0,0.034404708,0,0.034404708
1500000US530530721085,530721085,0.775158658,0.130553037,0.057116954,0.037171351,0,0,0,0,0
1500000US530530721091,530721091,0.832366215,0.016118633,0.021921341,0.067698259,0,0.005802708,0.056092843,0,0.056092843
1500000US530530721092,530721092,0.713519313,0.091201717,0,0.146459227,0.025751073,0.005901288,0.017167382,0,0.017167382
1500000US530530721111,530721111,0.64919595,0.041691483,0.005955926,0.137581894,0,0.006551519,0.159023228,0,0.159023228
1500000US530530721112,530721112,0.845595855,0.022797927,0,0.034196891,0.022797927,0.023834197,0.050777202,0.011398964,0.039378238
1500000US530530721121,530721121,0.596036585,0.098577236,0,0.12804878,0.071138211,0.016260163,0.089939024,0,0.089939024
1500000US530530721122,530721122,0.595102041,0.108571429,0.008163265,0.025306122,0.124081633,0.05877551,0.08,0.026122449,0.053877551
1500000US530530721123,530721123,0.587328767,0.128424658,0.03510274,0.090753425,0.023116438,0.024828767,0.110445205,0.03510274,0.075342466
1500000US530530723051,530723051,0.699769053,0.057736721,0.005388761,0.10469592,0.015396459,0,0.117013087,0,0.117013087
1500000US530530723052,530723052,0.907960199,0.024875622,0.0460199,0.021144279,0,0,0,0,0
1500000US530530723053,530723053,0.757798165,0,0.010091743,0.069724771,0.017431193,0,0.144954128,0,0.144954128
1500000US530530723054,530723054,0.746511628,0.018604651,0,0,0,0,0.234883721,0,0.234883721
1500000US530530723055,530723055,0.739657632,0.132667618,0.010699001,0.034236805,0,0.013552068,0.069186876,0.023537803,0.045649073
1500000US530530723056,530723056,0.866419295,0,0,0.025974026,0,0.107606679,0,0,0
1500000US530530723071,530723071,0.598702001,0.238507301,0.004867496,0.032449973,0.012439156,0.015143321,0.097890752,0,0.097890752
1500000US530530723072,530723072,0.828696925,0,0,0.112737921,0,0,0.058565154,0,0.058565154
1500000US530530723073,530723073,0.821899736,0.03298153,0,0.085751979,0,0.019788918,0.039577836,0,0.039577836
1500000US530530723074,530723074,0.689655172,0.131202691,0,0.142977292,0,0,0.036164844,0,0.036164844
1500000US530530723081,530723081,0.518342391,0.031929348,0,0.05638587,0.238451087,0.045516304,0.109375,0,0.109375
1500000US530530723082,530723082,0.831297266,0.013379872,0,0.062827225,0.012216405,0,0.080279232,0,0.080279232
1500000US530530723083,530723083,0.693522907,0.096366509,0,0.10821485,0,0.02685624,0.075039494,0,0.075039494
1500000US530530723084,530723084,0.513111269,0.091424522,0,0.021261517,0,0.313253012,0.060949681,0,0.060949681
1500000US530530723085,530723085,0.775449102,0.030538922,0.010179641,0.110179641,0,0,0.073652695,0,0.073652695
1500000US530530723091,530723091,0.724159402,0.025529265,0,0.109589041,0.001867995,0,0.138854296,0,0.138854296
1500000US530530723092,530723092,0.718120805,0.050111857,0.013422819,0.022818792,0,0.098881432,0.096644295,0,0.096644295
1500000US530530723093,530723093,0.822460776,0.011560694,0.037985136,0.022295623,0,0,0.10569777,0,0.10569777
1500000US530530723094,530723094,0.925609756,0.025609756,0,0.048780488,0,0,0,0,0
1500000US530530723101,530723101,0.927642276,0.025203252,0,0.007317073,0,0.031707317,0.008130081,0,0.008130081
1500000US530530723102,530723102,0.815140845,0.036971831,0.019366197,0.017605634,0,0,0.110915493,0,0.110915493
1500000US530530723103,530723103,0.741850683,0.065720294,0.031019979,0.056256572,0,0.005257624,0.099894848,0,0.099894848
1500000US530530723111,530723111,0.573391179,0.086767896,0,0.005061461,0,0.119305857,0.215473608,0.006507592,0.208966016
1500000US530530723112,530723112,0.42907489,0.305726872,0.028193833,0.063436123,0,0.061674009,0.111894273,0,0.111894273
1500000US530530723113,530723113,0.598732841,0.140971489,0.008975713,0.131467793,0,0.015839493,0.104012672,0.015839493,0.088173178
1500000US530530723121,530723121,0.633023649,0.041385135,0,0.260135135,0,0,0.065456081,0,0.065456081
1500000US530530723122,530723122,0.668874172,0.079470199,0,0.06254599,0,0.014716703,0.174392936,0,0.174392936
1500000US530530723123,530723123,0.743083004,0.018445323,0,0.181818182,0,0.022397892,0.034255599,0,0.034255599
1500000US530530723131,530723131,0.650890585,0.107379135,0.00610687,0.135368957,0,0.015776081,0.084478372,0,0.084478372
1500000US530530723132,530723132,0.825738916,0.01908867,0,0.100369458,0,0,0.054802956,0,0.054802956
1500000US530530724051,530724051,0.914510686,0,0.012935883,0.044994376,0.007311586,0,0.020247469,0,0.020247469
1500000US530530724052,530724052,0.94261242,0,0.027408994,0.011563169,0.005139186,0,0.013276231,0,0.013276231
1500000US530530724061,530724061,0.95360588,0.011024345,0.005512173,0.029398254,0,0.000459348,0,0,0
1500000US530530724062,530724062,0.948577681,0,0.009299781,0.034463895,0,0,0.007658643,0,0.007658643
1500000US530530724063,530724063,0.959322034,0,0.007748184,0,0,0.010653753,0.022276029,0,0.022276029
1500000US530530724071,530724071,0.676236045,0.005847953,0.051036683,0.099946837,0,0.137692717,0.029239766,0,0.029239766
