siteID,depMEAN_NO2__Plume,depMEAN_VOC__Plume,depMEAN_pm_10__Plu,depMEAN_pm_1__Plum,depMEAN_pm_2_5__Pl,siteID_INT,p_XCOORD,p_YCOORD,pG_hwc_raster_val,pG_hsc_raster_val,pG_rrc_raster_val,pG_tric_raster_val,pG_slo_raster_val,pD_pard_none_dist,pD_wad_none_dist,pG_parc_raster_val,pG_wac_raster_val,pG_ele_raster_val,pE_hsd_none_dist,pE_hwd_none_dist,pE_rrd_none_dist,pF_trid_none_dist,pD_psd_none_dist
355,19.0,4.0,3.0,3.0,4.0,347,1150490.8722192198,707109.9280889779,0.0,3.0,0.0,0.0,0.5788648724555969,2603.4699115778576,6040.149022858072,7.0,0.0,108.64099884033203,4215.251449976125,5319.538524584445,7537.413893415434,8270.443103875634,7646.48612323633
356,14.0,2.0,3.0,3.0,4.0,348,1151968.7695258856,707074.831046313,1.0,3.0,0.0,0.0,0.4694288372993469,2658.574486510002,4700.0571664238205,11.0,1.0,110.48910522460938,4677.361102905967,4800.160695568425,6613.006035550766,8356.304478651926,6664.704510522811
357,20.0,4.0,95.0,3.0,12.0,349,1150591.7266763002,707109.9589288086,0.0,3.0,0.0,0.0,0.6948139071464539,2669.4327548183287,5960.864613232175,7.0,0.0,109.4378662109375,4280.810608181648,5274.738961261959,7488.8610971674525,8270.35742023131,7597.068109366654
358,20.0,3.0,57.0,3.0,6.0,350,1150813.7652742267,707108.4192337245,1.0,3.0,0.0,0.0,0.17137444019317627,2802.605388380645,5752.5248318240565,7.0,0.0,111.53720092773438,4428.647749609419,5180.193364308457,7384.3066257771325,8272.895401823225,7493.333468265706
360,11.0,2.0,3.0,3.0,4.0,351,1152771.3246793002,707092.7732676417,1.0,1.0,0.0,0.0,0.03205588832497597,2681.9460516528034,3979.8657917549554,12.0,1.0,116.35930633544922,4721.107629401541,4729.384537590478,5934.406322587553,7721.360487208797,6089.528774082313
362,1.0,5.0,3.0,3.0,4.0,352,1135802.1053369641,707559.2096707225,2.0,10.0,4.0,0.0,0.513210654258728,1020.9293869566635,1865.09058000363,4.0,6.0,106.73802185058594,1175.288044263716,1015.841829368795,4077.9416609196996,16919.665261950344,4111.707059471339
363,1.0,5.0,6.0,3.0,4.0,353,1135799.374699384,707559.2798805535,2.0,10.0,4.0,0.0,0.7225975394248962,1018.6700943784978,1862.5935364169447,4.0,6.0,106.73802185058594,1172.556851123358,1015.703669421212,4075.445624804435,16921.739470789566,4109.203743892598
364,5.0,5.0,115.0,3.0,16.0,354,1135796.6532481313,707559.7149190605,2.0,10.0,4.0,0.0,0.7225975394248962,1016.2072102008319,1859.94876895532,4.0,6.0,106.73802185058594,1169.831280024671,1015.1300570426356,4072.8011704145933,16924.051432898224,4106.554388062582
365,4.0,5.0,13.0,3.0,4.0,355,1135797.407511726,707560.0603908151,2.0,10.0,4.0,0.0,0.7225975394248962,1016.617357933558,1860.4817336012127,4.0,6.0,106.73802185058594,1170.5821328727204,1014.8350794649201,4073.3339021699726,16923.72285156868,4107.091159558244
366,0.0,5.0,32.0,3.0,5.0,356,1135801.646348387,707560.6807963997,2.0,10.0,4.0,0.0,0.513210654258728,1019.6998010673534,1864.0458745878746,4.0,6.0,106.73802185058594,1174.8147068206563,1014.3597342515948,4076.895246434892,16920.99168912175,4110.668454671679
367,5.0,5.0,115.0,3.0,16.0,357,1135797.9321169704,707561.1414253861,2.0,10.0,4.0,0.0,0.7225975394248962,1016.4123809374636,1860.4921433631182,4.0,6.0,106.73802185058594,1171.0961529454603,1013.7909948535435,4073.343278538402,16924.05759468584,4107.108456837742
368,1.0,5.0,121.0,3.0,18.0,358,1135800.6722689718,707561.4357161373,2.0,10.0,4.0,0.0,0.7225975394248962,1018.4683424701026,1862.8424601360587,4.0,6.0,106.73802185058594,1173.8332994107777,1013.5808013497996,4075.6913335952395,16922.220597689815,4109.466428785463
369,1.0,5.0,3.0,3.0,4.0,359,1135801.4262044728,707561.781187892,2.0,10.0,4.0,0.0,0.513210654258728,1018.8808716868633,1863.3762463908236,4.0,6.0,106.73802185058594,1174.5838241806061,1013.25420383822,4076.223769068604,16921.89243862168,4110.003404880854
370,1.0,5.0,6.0,3.0,4.0,360,1135800.6814552993,707561.8002167195,2.0,10.0,4.0,0.0,0.7225975394248962,1018.2638219902846,1862.6948644623133,4.0,6.0,106.73802185058594,1173.8389246575157,1013.2166423810881,4075.543056254797,16922.45801397577,4109.320529075365
371,10.0,2.0,3.0,3.0,4.0,361,1152927.1363755614,707145.0815619826,1.0,1.0,0.0,0.0,0.09476693719625473,2547.8071019422573,3818.3358942820073,12.0,1.0,116.44585418701172,4778.4990266998175,4780.159163699138,5777.970499367496,7560.725668285909,5947.076924887788
373,11.0,2.0,3.0,3.0,4.0,362,1152847.6493298113,707205.0729118139,1.0,1.0,0.0,0.0,0.09476693719625473,2642.0299581091967,3859.1689315937497,12.0,1.0,116.40067291259766,4835.841304544183,4840.286315981342,5857.299673802322,7633.563662936687,5955.001734032645
374,9.0,2.0,3.0,3.0,4.0,363,1153003.7602380514,707209.5778240561,1.0,1.0,0.0,0.0,0.15608596801757812,2496.0039269914246,3719.9570490666183,12.0,1.0,116.61837768554688,4845.482644686657,4845.7564442060375,5701.2027652851475,7477.784604400266,5848.11643643105
375,9.0,2.0,3.0,3.0,4.0,364,1153182.180156812,707232.1368340552,1.0,1.0,0.0,0.0,0.2037372887134552,2337.1155011561195,3553.7406093857203,12.0,1.0,117.39928436279297,4875.532851414224,4875.532851414224,5522.908895085246,7298.00120892244,5712.8155865738245
376,8.0,2.0,3.0,3.0,4.0,365,1153353.2234498858,707287.7180877328,2.0,1.0,0.0,0.0,0.20079627633094788,2201.834462089149,3378.160777634839,12.0,1.0,117.27295684814453,4943.904657730446,4943.904657730446,5352.594179227942,7122.355228777511,5534.494325995138
377,13.0,2.0,3.0,3.0,4.0,366,1153566.0648877174,707286.0737340599,2.0,3.0,6.0,0.0,0.6705646514892578,2009.7428736468237,3198.156623278412,12.0,1.0,114.82112121582031,4966.492824266588,4966.492824266588,5139.758570388802,6910.6621277574095,5344.059920106192
379,8.0,2.0,3.0,3.0,4.0,367,1153458.9440389723,707303.6964022219,2.0,3.0,1.0,0.0,0.9026056528091431,2113.316992767297,3279.443459810705,12.0,1.0,115.90371704101562,4970.68092824513,4970.68092824513,5247.212585742742,7015.598637179414,5432.333229571806
380,11.0,2.0,3.0,3.0,4.0,368,1153779.535589382,707349.7248534709,2.0,3.0,6.0,0.0,0.6496039628982544,1855.4884287984094,2984.9037002302225,13.0,1.0,111.54363250732422,4848.749289260807,4807.2851747406185,4927.975508726366,6692.119301200933,5124.824752390868
381,10.0,2.0,3.0,3.0,4.0,369,1153968.3288469762,707359.9928775579,3.0,3.0,6.0,0.0,0.2393471747636795,1704.3033311303907,2824.3285095441574,13.0,1.0,111.42408752441406,4662.141914032684,4618.776535245863,4739.641670207623,6503.1830682555565,4952.5735154500235
382,10.0,2.0,3.0,3.0,4.0,370,1154170.9370375574,707356.4200500548,3.0,3.0,7.0,0.0,0.06314712017774582,1541.917547892114,2665.240699823612,13.0,1.0,111.2688980102539,4465.4125566539005,4418.540288243177,4537.036989949383,6301.817760080964,4776.212560488468
383,0.0,3.0,42.0,3.0,4.0,371,1158670.009732306,707246.3093778938,5.0,5.0,8.0,32.0,2.1039798259735107,332.88895383854896,2928.68716459889,9.0,2.0,39.78487777709961,915.3688490685357,534.883532367941,66.03996031041522,1912.7503939664346,917.5021628132579
385,10.0,2.0,3.0,3.0,4.0,372,1154268.6182726324,707378.8048478067,3.0,3.0,7.0,0.0,0.12446793168783188,1483.5563989691786,2575.228625169124,13.0,1.0,110.97054290771484,4365.20035021466,4318.699382792161,4440.3169112407195,6202.449342397527,4679.973525046922
386,10.0,2.0,3.0,3.0,4.0,373,1154065.4611986428,707400.2683875561,3.0,3.0,6.0,0.0,0.17577046155929565,1651.2857166788722,2722.1741442620873,13.0,1.0,111.26054382324219,4558.611923329875,4517.238425413686,4644.219834894689,6402.811389778655,4847.897234209613
387,12.0,2.0,21.0,3.0,4.0,374,1154424.958511144,707402.6532253027,2.0,2.0,7.0,0.0,0.36467474699020386,1391.1023825878106,2440.708526979432,13.0,1.0,110.92655181884766,4207.555109773725,4160.565255982373,4285.23864471985,6044.5650026675385,4531.766903551053
388,11.0,2.0,3.0,3.0,4.0,375,1154611.2229023874,707411.1656754762,3.0,2.0,7.0,0.0,0.5172358155250549,1281.3439441009511,2298.243043711085,13.0,1.0,109.13388061523438,4024.203498126756,3974.9295398981435,4099.663459301123,5858.319782545941,4365.039438602507
389,0.0,3.0,15.0,3.0,4.0,376,1158642.8004691452,707341.8410109729,5.0,5.0,8.0,32.0,2.1749300956726074,294.3468353097412,2848.6444813122775,9.0,2.0,42.97772979736328,818.8550748965415,484.51178356768787,163.82223792369834,1904.7592292819666,903.1997936524424
390,11.0,2.0,26.0,3.0,4.0,377,1154770.8177275509,707456.097672224,3.0,2.0,7.0,0.0,0.08067703992128372,1235.4930968342906,2154.057680451757,13.0,1.0,108.56333923339844,3858.606494667264,3810.6486578184554,3943.084142737114,5695.280899632679,4204.267825118296
391,10.0,2.0,3.0,3.0,4.0,378,1154871.494035393,707459.0737161487,4.0,2.0,7.0,0.0,0.0046763671562075615,1194.0871705786867,2083.6514729282712,13.0,1.0,108.35338592529297,3759.811891881544,3710.5148790894054,3842.8499303985586,5594.7422088394915,4115.991056323669
393,8.0,0.0,0.0,0.0,0.0,379,1155038.5842523873,707475.7278823107,4.0,2.0,7.0,0.0,0.08266933262348175,1153.0467965231737,1963.4031375070738,13.0,1.0,108.4322280883789,3593.3239640614975,3542.7348380960075,3677.442933870413,5426.831387506427,3964.594578674462
394,7.0,2.0,49.0,3.0,4.0,380,1155235.3374678046,707506.6074137241,4.0,2.0,7.0,10.0,0.22647319734096527,1017.6236584809341,1821.3641126426082,13.0,1.0,107.94212341308594,3394.7916311625654,3343.5963439657,3483.9850121865297,5228.117269863662,3781.9550785624574
395,0.0,3.0,15.0,3.0,4.0,381,1158632.3139415532,707440.6095142215,5.0,5.0,8.0,32.0,2.151705503463745,269.6701550489026,2781.5118700058897,9.0,2.0,41.792423248291016,719.9017700437429,419.74524098818995,260.67096007620904,1884.9635966097912,873.9040768323009
396,6.0,2.0,3.0,3.0,4.0,382,1155411.724910304,707537.6286771446,4.0,2.0,7.0,10.0,0.2700052559375763,869.2042456164918,1700.7985931062994,13.0,1.0,107.22892761230469,3216.076965416048,3164.6119538841535,3311.475256175622,5049.719759232706,3617.82844515529
398,7.0,2.0,12.0,3.0,4.0,383,1155567.4034047276,707554.9350729734,4.0,2.0,7.0,10.0,1.025222659111023,717.4456249358149,1612.5739326177913,13.0,1.0,106.9163818359375,3060.835102377009,3008.0359828221112,3158.6491837854956,4893.1387074848335,3480.0150715303716
399,7.0,2.0,111.0,3.0,11.0,384,1156012.0681978017,707586.2525956482,4.0,2.0,7.0,10.0,0.3158217668533325,284.95593512062584,1444.6047078774989,13.0,1.0,98.1082763671875,2623.212211749268,2563.5200481480347,2721.8226198210236,4447.414694024679,3107.7692988275708
