total,no_yr,nurs_scl,kndr,oneyr,twoyr,threeyr,fouryr,fiveyr,sixyr,sevenyr,eightyr,nineyr,tenyr,elevenyr,twelveyr_nd,twelveyr,GED,sub_thirteenyr,thirteenyr,fourteenyr,sixteenyr,eighteenyr,prof_scl,doctorate,id,id,Y2014_Ed_TTL,Y2014_Ed_Avg
1375,16,0,0,0,0,0,0,0,0,15,6,21,22,63,20,329,29,169,386,160,114,25,0,0,530626002,530626002,17425.5,12.67309091
853,0,0,10,0,0,0,0,0,0,0,0,0,0,50,68,234,0,46,161,113,97,62,0,12,530628011,530628011,11303,13.25087925
992,22,0,0,0,0,0,0,0,19,10,15,0,51,17,19,278,41,67,296,49,47,61,0,0,530628012,530628012,12269,12.36794355
1098,21,0,0,0,0,10,0,0,0,4,8,0,36,4,18,224,47,160,301,131,89,45,0,0,530628013,530628013,13966,12.71948998
648,0,0,0,0,0,0,0,0,0,0,0,14,0,10,9,163,54,64,80,131,97,26,0,0,530628014,530628014,8637.5,13.32947531
1110,19,0,0,0,0,0,10,0,0,3,0,0,35,38,44,275,90,102,134,78,184,75,23,0,530628021,530628021,14532,13.09189189
985,14,0,0,0,0,0,0,0,0,0,0,5,52,0,36,205,125,166,180,115,71,16,0,0,530628022,530628022,12388,12.57664975
799,0,0,0,0,0,0,13,0,0,0,0,9,0,0,28,177,82,94,109,56,119,53,59,0,530628023,530628023,10859,13.59073842
1312,17,0,0,0,0,0,0,0,24,0,55,12,0,40,27,262,134,144,347,63,174,13,0,0,530629001,530629001,16405.5,12.50419207
974,44,0,0,0,0,48,0,0,38,0,17,0,14,48,14,137,87,88,193,54,124,68,0,0,530629002,530629002,11598,11.90759754
802,43,0,0,0,0,0,0,20,0,0,1,18,31,21,32,167,48,41,45,126,209,0,0,0,530629003,530629003,9964.5,12.42456359
632,0,0,0,13,0,0,0,0,0,0,0,0,14,24,0,216,24,110,104,70,29,28,0,0,530629004,530629004,7972,12.61392405
422,0,0,12,0,0,0,0,13,0,0,0,0,65,66,30,80,37,27,38,13,41,0,0,0,530629005,530629005,4865.5,11.52962085
484,0,0,0,0,0,0,0,22,21,0,0,0,0,0,0,121,83,37,129,57,14,0,0,0,530629006,530629006,5845.5,12.07747934
790,13,6,0,0,0,0,0,0,14,0,14,0,5,43,0,185,31,19,251,65,93,51,0,0,530630001,530630001,10129,12.82151899
1394,40,0,0,52,0,0,0,0,17,24,34,17,35,49,155,381,85,78,260,110,36,21,0,0,530630002,530630002,15859.5,11.37697274
437,10,0,0,0,0,0,0,0,0,0,0,28,0,0,0,144,34,44,97,46,20,14,0,0,530631001,530631001,5415,12.39130435
793,0,0,0,0,0,0,8,26,0,0,29,40,10,20,21,218,55,74,82,69,112,29,0,0,530631002,530631002,9862.5,12.4369483
543,11,0,0,0,0,0,0,0,0,8,0,0,24,0,24,208,36,74,50,23,69,16,0,0,530631003,530631003,6789,12.50276243
1003,56,0,0,0,0,0,0,0,0,11,5,12,22,13,27,264,174,83,149,48,112,18,0,9,530631004,530631004,12097,12.06081755
687,25,0,0,0,0,0,0,2,7,0,7,22,11,15,3,153,58,58,176,46,66,26,0,12,530632001,530632001,8568.5,12.47234352
1415,26,0,0,0,40,0,0,0,0,35,0,62,71,61,10,424,80,80,296,203,17,10,0,0,530632002,530632002,16569,11.70954064
472,0,0,0,0,0,0,0,0,6,0,39,1,33,0,21,120,0,29,128,45,50,0,0,0,530632003,530632003,5825,12.34110169
535,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,135,44,41,144,29,97,20,0,0,530632004,530632004,7132,13.33084112
615,10,0,0,0,8,0,0,0,0,0,0,7,21,2,0,179,117,92,48,22,60,49,0,0,530632005,530632005,7787,12.66178862
1004,52,0,0,0,0,6,17,13,45,17,7,112,46,27,26,257,24,115,99,46,41,54,0,0,530633001,530633001,11028.5,10.98456175
1737,15,0,0,0,18,20,0,18,82,29,0,59,51,39,18,436,52,168,453,129,88,59,0,3,530633002,530633002,20739,11.93955095
891,128,0,0,0,0,0,0,0,7,0,0,0,33,27,0,252,0,54,224,66,86,14,0,0,530633003,530633003,9832,11.03479237
495,0,0,0,0,0,0,0,0,0,18,0,96,0,0,4,57,19,39,105,56,78,23,0,0,530633004,530633004,6246.5,12.61919192
779,8,0,0,0,0,0,14,0,15,0,13,0,62,16,22,329,26,61,93,34,73,0,13,0,530633005,530633005,9408.5,12.07766367
873,51,0,0,0,0,0,0,0,58,0,0,86,25,23,11,313,18,74,103,48,29,34,0,0,530634001,530634001,9735.5,11.15177549
1146,30,0,0,0,0,0,0,0,0,18,0,14,11,45,51,393,104,81,162,117,110,10,0,0,530634002,530634002,14104,12.30715532
536,12,0,0,0,0,0,1,0,12,38,0,0,0,0,12,165,65,60,65,76,16,14,0,0,530634003,530634003,6407,11.95335821
520,11,0,0,0,0,0,0,0,0,0,1,0,59,0,12,151,12,25,63,90,77,19,0,0,530634004,530634004,6657.5,12.80288462
1050,0,0,0,0,0,0,0,0,0,0,4,4,44,69,26,282,96,69,290,40,114,12,0,0,530634005,530634005,13334.5,12.69952381
768,0,0,0,0,0,0,0,0,35,0,60,29,0,9,0,204,26,89,110,51,141,14,0,0,530634006,530634006,9574.5,12.46679688
463,32,0,0,0,0,0,0,0,0,0,9,19,0,0,9,145,34,84,66,20,9,26,10,0,530635011,530635011,5474.5,11.82397408
680,0,0,0,0,9,8,0,0,13,0,0,23,31,5,10,192,49,39,129,66,93,13,0,0,530635012,530635012,8509.5,12.51397059
773,15,0,0,0,0,0,0,0,0,0,8,1,0,40,47,221,30,46,98,105,114,48,0,0,530635013,530635013,10072.5,13.03040103
1128,77,0,0,0,10,40,0,0,21,32,22,80,74,8,60,305,43,54,187,89,26,0,0,0,530635014,530635014,11848,10.5035461
680,37,0,0,0,0,0,8,0,28,0,0,9,0,6,18,162,68,32,93,43,134,5,0,37,530635021,530635021,8499,12.49852941
1722,42,0,0,0,0,0,0,19,9,0,22,16,75,36,92,490,172,148,264,99,208,19,11,0,530635022,530635022,21153,12.28397213
937,21,0,0,0,0,0,0,0,24,0,60,0,0,5,0,337,46,31,209,45,117,33,9,0,530635023,530635023,11637.5,12.41995731
545,19,0,0,0,0,0,0,2,14,2,9,2,4,6,3,121,11,50,167,29,99,4,0,3,530701001,530701001,6840.5,12.55137615
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530701002,530701002,0,#DIV/0!
828,0,0,0,0,0,0,0,0,0,0,0,0,39,38,27,216,53,32,124,81,125,78,0,15,530701003,530701003,11196.5,13.522343
800,0,0,0,0,0,0,0,0,24,0,0,0,21,37,7,182,84,73,174,80,14,104,0,0,530701004,530701004,10424,13.03
1493,0,0,0,0,0,0,0,0,9,0,0,57,0,0,0,369,52,145,268,167,284,132,10,0,530702031,530702031,20353.5,13.63261889
1624,0,0,0,0,0,0,0,0,0,0,0,80,0,48,18,615,110,144,205,171,180,32,0,21,530702032,530702032,20890,12.86330049
461,9,0,0,0,0,0,0,0,12,0,0,0,44,21,0,82,43,71,80,12,47,29,0,11,530702033,530702033,5832.5,12.65184382
987,7,0,0,0,0,0,0,0,0,0,0,0,66,52,18,301,105,109,176,94,33,14,12,0,530702041,530702041,12273.5,12.43515704
1498,0,0,0,0,0,0,0,0,0,0,8,0,38,51,19,485,73,138,372,232,44,25,13,0,530702042,530702042,19116.5,12.76134846
1537,0,0,0,0,0,0,0,0,0,9,0,46,59,65,40,407,100,120,270,215,142,64,0,0,530702051,530702051,19770,12.86271958
679,0,0,0,0,0,7,0,0,0,20,21,6,11,15,8,217,36,62,94,46,97,38,0,1,530702052,530702052,8683,12.78792342
1060,0,0,0,0,0,0,0,0,0,0,2,15,24,27,40,338,56,110,202,113,71,51,9,2,530702061,530702061,13715,12.93867925
856,14,0,0,0,0,0,0,0,0,0,8,8,27,29,9,267,81,77,166,101,38,28,3,0,530702062,530702062,10705,12.50584112
675,0,0,0,0,0,0,0,0,0,0,4,25,0,7,21,213,146,44,98,61,37,11,8,0,530702063,530702063,8495.5,12.58592593
828,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,241,80,166,133,94,63,24,9,0,530702071,530702071,10776,13.01449275
763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,167,40,133,165,47,130,66,0,7,530702072,530702072,10449.5,13.69528178
829,438,0,0,0,0,0,0,0,8,0,0,0,0,0,0,122,0,31,99,64,38,29,0,0,530702073,530702073,5212.5,6.287696019
756,0,0,0,0,0,0,0,0,0,0,0,0,33,6,11,301,16,13,197,51,83,22,23,0,530702074,530702074,9902,13.0978836
605,0,0,0,0,0,0,0,0,0,0,0,10,0,0,21,79,12,131,82,47,178,31,14,0,530703071,530703071,8443,13.9553719
1116,0,0,0,0,0,0,0,0,0,0,0,20,0,0,18,253,21,102,144,20,309,188,20,21,530703072,530703072,16210,14.52508961
1580,10,0,0,0,0,0,0,0,0,0,8,0,9,17,8,342,42,154,209,141,481,152,7,0,530703073,530703073,22215,14.06012658
1058,10,0,0,0,0,0,0,0,0,0,42,17,20,7,20,260,39,87,229,99,185,32,11,0,530703081,530703081,13768.5,13.0137051
1171,0,0,0,0,0,0,0,0,0,0,0,22,30,32,26,282,76,224,178,112,128,38,9,14,530703082,530703082,15301,13.06660974
1014,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,331,14,69,213,130,136,32,14,40,530703091,530703091,13780.5,13.59023669
1283,0,0,0,0,0,0,0,0,0,0,0,73,11,0,0,341,56,141,219,113,220,109,0,0,530703092,530703092,17204.5,13.40958691
1288,15,0,0,0,0,0,0,0,0,0,0,0,26,64,0,311,55,147,342,98,137,80,0,13,530703093,530703093,16903.5,13.1238354
1213,5,0,0,0,0,0,0,0,0,0,21,8,0,34,19,432,65,147,141,135,144,56,6,0,530703101,530703101,15777,13.00659522
534,0,0,0,0,0,0,0,0,0,13,12,0,0,31,59,217,34,52,23,73,20,0,0,0,530703102,530703102,6509.5,12.19007491
