OBJECTID,PropertyID,ParkType,ParkClass,Address,PostalCity,ZIPCode,Owner,Manager,ParkHours,AcresImproved,AcresUnimproved,ParkWebLink,IsPublicAccessible,Maplabel,GISAcres,Name,AltWebLink,RESTROOM,ADACOMPLY,PARKING,PAVED_TRAIL,UNPAVED_TRAIL,TRAILHEAD,COMMUNITY_CENTER,PICNIC,PLAYGROUND,DOG_PARK,BASEBALL,BASKETBALL,MULTIPURPOSE,GOLF,BEACH,FISHING,BOAT_LAUNCH,SKATE,TENNIS,BMX,CLIMBING,EQUESTRIAN,DISC_GOLF,ICE_RINK,QTR_MIDGET_TRACK,PARKSIZE,DESCRIPTION,VisibleInApp,Camping,SHAPE_Length,SHAPE_Area
283,1894,Park,Special Use,2301 Worthington St,Steilacoom,98388,Town of Steilacoom,Town of Steilacoom,Dawn to Dusk,4.09,0,http://www.townofsteilacoom.com/activities/parks_recreation.htm#community_center,1,Community Center Park,4.09906423,Community Center Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1667.20618283167,178554.535626785
284,1895,Park,Local,Cormorant Dr and Chapman Lp,Steilacoom,98388,Town of Steilacoom,Town of Steilacoom,Dawn to Dusk,1.613,0,http://www.townofsteilacoom.com/activities/parks_recreation.htm#cormorant,1,Cormorant Park,1.61264276,Cormorant Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1058.36086430012,70280.638107697
285,1897,Park,Local,Union & Martin St,Steilacoom,98388,Town of Steilacoom,Town of Steilacoom,Dawn to Dusk,0.5,0,http://www.townofsteilacoom.com/activities/parks_recreation.htm#perkins,1,Perkins Park,0.52867293,Perkins Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,612.11405243628,23028.9051545397
286,1899,Park,Local,Roe St,Steilacoom,98388,Town of Steilacoom,Town of Steilacoom,Dawn to Dusk,0.46,0,http://www.townofsteilacoom.com/activities/parks_recreation.htm#weber,1,Weber Court,0.50201605,Weber Court, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,682.609863448689,21886.5300624168
287,1900,Park,Local,1306 69th St E,Auburn,98092,City of Auburn,City of Auburn,Dawn to Dusk,15,0,http://www.auburnwa.gov/community/parks/sunset_park.asp,1,Sunset Park,14.779093,Sunset Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,3263.91741065919,643670.374147439
288,1961,Wildlife Habitat,Regional/Resource Cons.,100 NE Brown Farm Rd,Olympia,98516,US Fish and Wildlife,US Fish & Wildlife,The trails and Refuge are open from sunrise to sunset,1512.56,0,http://www.fws.gov/refuges/profiles/index.cfm?id=13529,1,Nisqually National Wildlife Refuge,1018.19032055,Nisqually National Wildlife Refuge, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,61874.0032658685,44352224.9738711
289,1964,Park,Local,5701 Lakeland Hills Way SE,Auburn,98092,City of Auburn,City of Auburn,Dawn to Dusk,4,0,http://www.auburnwa.gov/community/parks/dorothy_bothell.asp,1,Dorothy Bothell Park,4.33377385,Dorothy Bothell Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,3082.41847875637,188724.746692072
290,2642,Park,Undeveloped Sites,3124 67TH AV W,University Place, ,City of University Place,City of University Place,Dawn to Dusk (unless otherwise posted),0,9.5,http://cityofup.com/Media/file/ParksAndRec/WHERE%20ARE%20OUR%20PARKS%202011.pdf,1,Paradise Pond Park,9.73570635,Paradise Pond Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2605.79660399353,424085.644107735
291,2643,Park,Undeveloped Sites,Brookside Wy W,University Place,98466,City of University Place,City of University Place,Dawn to Dusk,0,2.7, ,1,Brookside Park,2.59019273,Brookside Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1449.7139039157,112815.782661312
293,2673,Park,Local,Orting Av NW,Orting,98360,City of Orting,City of Orting,Dawn to Dusk (unless otherwise posted),0,0, ,1,Whitehawk Park,3.97606306,Whitehawk Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2198.93731568991,173186.733473699
294,2675,Wildlife Habitat,Local,Williams Ct NW,Orting,98360,City of Orting,City of Orting,Dawn to Dusk (unless otherwise posted),0,0, ,1,Wetland in Village Green,40.18624388,Wetland in Village Green, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,11257.0748726988,1750575.35887871
