"Label (Grouping)","Total:","Total:!!Under .50","Total:!!.50 to .99","Total:!!1.00 to 1.24","Total:!!1.25 to 1.49","Total:!!1.50 to 1.84","Total:!!1.85 to 1.99","Total:!!2.00 and over"
"    Margin of Error","±528","±12","±96","±74","±210","±349","±155","±343"
"Block Group 3, Census Tract 726.02, Pierce County, Washington","","","","","","","",""
"    Estimate","1,353","68","111","57","37","8","0","1,072"
"    Margin of Error","±396","±58","±102","±62","±57","±14","±12","±375"
"Block Group 1, Census Tract 726.03, Pierce County, Washington","","","","","","","",""
"    Estimate","783","111","30","45","0","15","0","582"
"    Margin of Error","±262","±155","±36","±50","±12","±25","±12","±219"
"Block Group 2, Census Tract 726.03, Pierce County, Washington","","","","","","","",""
"    Estimate","966","111","0","129","11","18","0","697"
"    Margin of Error","±366","±181","±12","±140","±17","±27","±12","±306"
"Block Group 3, Census Tract 726.03, Pierce County, Washington","","","","","","","",""
"    Estimate","877","0","32","111","0","21","115","598"
"    Margin of Error","±224","±12","±31","±124","±12","±27","±150","±160"
"Block Group 4, Census Tract 726.03, Pierce County, Washington","","","","","","","",""
"    Estimate","1,643","91","193","233","0","378","9","739"
"    Margin of Error","±538","±89","±184","±372","±12","±268","±14","±302"
"Block Group 5, Census Tract 726.03, Pierce County, Washington","","","","","","","",""
"    Estimate","172","106","0","0","0","0","0","66"
"    Margin of Error","±267","±245","±12","±12","±12","±12","±12","±105"
"Block Group 1, Census Tract 728, Pierce County, Washington","","","","","","","",""
"    Estimate","5,671","95","72","7","410","354","97","4,636"
"    Margin of Error","±443","±92","±90","±13","±314","±297","±101","±507"
"Block Group 2, Census Tract 728, Pierce County, Washington","","","","","","","",""
"    Estimate","3,335","197","75","22","49","60","14","2,918"
"    Margin of Error","±445","±183","±122","±32","±102","±57","±22","±453"
"Block Group 1, Census Tract 729.01, Pierce County, Washington","","","","","","","",""
"    Estimate","2,734","78","73","233","319","443","146","1,442"
"    Margin of Error","±192","±45","±55","±117","±203","±245","±106","±318"
"Block Group 1, Census Tract 729.03, Pierce County, Washington","","","","","","","",""
"    Estimate","1,923","68","75","16","49","235","56","1,424"
"    Margin of Error","±213","±55","±60","±25","±51","±144","±60","±254"
"Block Group 1, Census Tract 729.05, Pierce County, Washington","","","","","","","",""
"    Estimate","2,658","41","110","222","567","551","73","1,094"
"    Margin of Error","±565","±52","±106","±243","±398","±368","±124","±427"
"Block Group 2, Census Tract 729.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,382","122","27","204","342","227","0","460"
"    Margin of Error","±476","±156","±44","±239","±328","±212","±12","±280"
"Block Group 3, Census Tract 729.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,597","107","123","366","198","185","0","618"
"    Margin of Error","±512","±141","±118","±369","±214","±188","±12","±304"
"Block Group 1, Census Tract 729.06, Pierce County, Washington","","","","","","","",""
"    Estimate","11","0","0","0","0","0","0","11"
"    Margin of Error","±13","±12","±12","±12","±12","±12","±12","±13"
"Block Group 2, Census Tract 729.06, Pierce County, Washington","","","","","","","",""
"    Estimate","49","0","0","0","0","0","0","49"
"    Margin of Error","±34","±12","±12","±12","±12","±12","±12","±34"
"Block Group 1, Census Tract 729.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,672","64","170","115","181","107","131","904"
"    Margin of Error","±565","±77","±266","±113","±207","±168","±135","±426"
"Block Group 2, Census Tract 729.07, Pierce County, Washington","","","","","","","",""
"    Estimate","3,922","79","421","300","692","246","113","2,071"
"    Margin of Error","±694","±101","±258","±215","±393","±180","±120","±684"
"Block Group 3, Census Tract 729.07, Pierce County, Washington","","","","","","","",""
"    Estimate","0","0","0","0","0","0","0","0"
"    Margin of Error","±12","±12","±12","±12","±12","±12","±12","±12"
"Block Group 1, Census Tract 730.01, Pierce County, Washington","","","","","","","",""
"    Estimate","912","136","0","0","15","0","40","721"
"    Margin of Error","±354","±208","±12","±12","±27","±12","±62","±312"
"Block Group 2, Census Tract 730.01, Pierce County, Washington","","","","","","","",""
"    Estimate","993","62","127","0","0","42","0","762"
"    Margin of Error","±385","±47","±172","±12","±12","±59","±12","±377"
"Block Group 3, Census Tract 730.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,646","117","182","0","43","112","29","1,163"
"    Margin of Error","±446","±120","±189","±12","±66","±181","±45","±481"
"Block Group 4, Census Tract 730.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,251","0","138","83","76","0","0","954"
"    Margin of Error","±344","±12","±171","±91","±121","±12","±12","±294"
"Block Group 5, Census Tract 730.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,011","18","255","45","0","15","34","644"
"    Margin of Error","±280","±19","±235","±46","±12","±25","±32","±156"
"Block Group 1, Census Tract 730.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,051","21","20","0","22","0","1","987"
"    Margin of Error","±289","±29","±31","±12","±32","±12","±4","±285"
"Block Group 2, Census Tract 730.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,254","103","18","69","110","152","68","734"
"    Margin of Error","±339","±162","±30","±79","±146","±190","±114","±270"
"Block Group 3, Census Tract 730.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,093","258","201","0","33","72","0","529"
"    Margin of Error","±437","±312","±291","±12","±49","±83","±12","±219"
"Block Group 4, Census Tract 730.05, Pierce County, Washington","","","","","","","",""
"    Estimate","2,036","28","264","58","72","134","11","1,469"
"    Margin of Error","±415","±44","±348","±110","±67","±177","±17","±342"
"Block Group 1, Census Tract 730.06, Pierce County, Washington","","","","","","","",""
"    Estimate","2,471","69","170","18","125","164","80","1,845"
"    Margin of Error","±462","±65","±155","±16","±92","±118","±72","±445"
"Block Group 2, Census Tract 730.06, Pierce County, Washington","","","","","","","",""
"    Estimate","975","63","19","0","106","51","0","736"
"    Margin of Error","±262","±76","±28","±12","±120","±81","±12","±232"
"Block Group 1, Census Tract 731.08, Pierce County, Washington","","","","","","","",""
"    Estimate","2,322","0","769","199","53","50","0","1,251"
"    Margin of Error","±547","±12","±499","±213","±71","±48","±12","±330"
"Block Group 2, Census Tract 731.08, Pierce County, Washington","","","","","","","",""
"    Estimate","3,604","66","0","32","442","174","30","2,860"
"    Margin of Error","±466","±81","±12","±52","±299","±142","±46","±440"
"Block Group 3, Census Tract 731.08, Pierce County, Washington","","","","","","","",""
"    Estimate","2,097","12","0","0","36","79","260","1,710"
"    Margin of Error","±492","±20","±12","±12","±62","±95","±295","±461"
"Block Group 1, Census Tract 731.10, Pierce County, Washington","","","","","","","",""
"    Estimate","1,769","42","18","35","75","9","42","1,548"
"    Margin of Error","±281","±33","±21","±41","±117","±14","±46","±300"
"Block Group 2, Census Tract 731.10, Pierce County, Washington","","","","","","","",""
"    Estimate","2,033","78","11","45","50","14","9","1,826"
"    Margin of Error","±264","±58","±17","±66","±77","±22","±15","±251"
"Block Group 1, Census Tract 731.11, Pierce County, Washington","","","","","","","",""
"    Estimate","1,986","158","106","5","22","156","13","1,526"
"    Margin of Error","±342","±147","±98","±7","±27","±100","±20","±316"
"Block Group 2, Census Tract 731.11, Pierce County, Washington","","","","","","","",""
"    Estimate","1,374","37","0","49","0","97","0","1,191"
"    Margin of Error","±320","±36","±12","±76","±12","±81","±12","±343"
"Block Group 3, Census Tract 731.11, Pierce County, Washington","","","","","","","",""
"    Estimate","763","27","21","13","8","10","0","684"
"    Margin of Error","±203","±33","±33","±10","±12","±15","±12","±179"
"Block Group 1, Census Tract 731.13, Pierce County, Washington","","","","","","","",""
"    Estimate","1,809","35","0","8","362","12","66","1,326"
"    Margin of Error","±397","±35","±12","±19","±304","±19","±84","±386"
"Block Group 2, Census Tract 731.13, Pierce County, Washington","","","","","","","",""
"    Estimate","2,534","88","174","10","0","35","285","1,942"
"    Margin of Error","±591","±71","±143","±16","±12","±59","±296","±548"
"Block Group 3, Census Tract 731.13, Pierce County, Washington","","","","","","","",""
"    Estimate","2,537","99","0","0","0","62","51","2,325"
"    Margin of Error","±509","±116","±12","±12","±12","±74","±83","±497"
"Block Group 1, Census Tract 731.14, Pierce County, Washington","","","","","","","",""
"    Estimate","2,397","48","194","80","36","68","12","1,959"
"    Margin of Error","±445","±76","±254","±85","±63","±58","±76","±434"
"Block Group 2, Census Tract 731.14, Pierce County, Washington","","","","","","","",""
"    Estimate","1,787","82","34","295","75","85","220","996"
"    Margin of Error","±441","±82","±37","±330","±90","±87","±212","±291"
"Block Group 3, Census Tract 731.14, Pierce County, Washington","","","","","","","",""
"    Estimate","1,271","32","206","48","151","36","71","727"
"    Margin of Error","±309","±43","±156","±39","±142","±58","±73","±238"
"Block Group 1, Census Tract 731.15, Pierce County, Washington","","","","","","","",""
"    Estimate","2,083","25","86","89","48","172","121","1,542"
"    Margin of Error","±356","±27","±116","±106","±77","±150","±127","±356"
"Block Group 2, Census Tract 731.15, Pierce County, Washington","","","","","","","",""
"    Estimate","1,517","109","21","0","42","117","35","1,193"
"    Margin of Error","±315","±106","±22","±12","±47","±146","±54","±321"
"Block Group 3, Census Tract 731.15, Pierce County, Washington","","","","","","","",""
"    Estimate","474","36","49","7","8","41","6","327"
"    Margin of Error","±112","±34","±34","±11","±13","±53","±10","±98"
"Block Group 1, Census Tract 731.16, Pierce County, Washington","","","","","","","",""
"    Estimate","2,176","317","41","0","100","79","1","1,638"
"    Margin of Error","±364","±240","±28","±12","±78","±70","±2","±275"
"Block Group 2, Census Tract 731.16, Pierce County, Washington","","","","","","","",""
"    Estimate","1,036","16","47","90","17","58","28","780"
"    Margin of Error","±189","±19","±41","±82","±26","±69","±49","±202"
"Block Group 1, Census Tract 731.17, Pierce County, Washington","","","","","","","",""
"    Estimate","1,978","65","223","12","209","116","65","1,288"
"    Margin of Error","±338","±62","±205","±19","±157","±102","±82","±294"
"Block Group 2, Census Tract 731.17, Pierce County, Washington","","","","","","","",""
"    Estimate","1,856","50","106","111","198","113","69","1,209"
"    Margin of Error","±467","±47","±75","±153","±250","±86","±67","±356"
"Block Group 1, Census Tract 731.18, Pierce County, Washington","","","","","","","",""
"    Estimate","1,887","10","54","21","92","48","150","1,512"
"    Margin of Error","±235","±16","±62","±24","±99","±49","±121","±259"
"Block Group 2, Census Tract 731.18, Pierce County, Washington","","","","","","","",""
"    Estimate","2,373","70","55","62","165","68","9","1,944"
"    Margin of Error","±340","±73","±59","±77","±185","±68","±14","±329"
"Block Group 1, Census Tract 731.19, Pierce County, Washington","","","","","","","",""
"    Estimate","814","14","37","0","0","15","0","748"
"    Margin of Error","±241","±17","±40","±12","±12","±22","±12","±243"
"Block Group 2, Census Tract 731.19, Pierce County, Washington","","","","","","","",""
"    Estimate","2,274","10","162","0","89","40","0","1,973"
"    Margin of Error","±441","±17","±145","±12","±132","±67","±12","±397"
"Block Group 1, Census Tract 731.20, Pierce County, Washington","","","","","","","",""
"    Estimate","2,254","72","50","266","149","73","131","1,513"
"    Margin of Error","±388","±69","±70","±265","±144","±109","±147","±420"
"Block Group 2, Census Tract 731.20, Pierce County, Washington","","","","","","","",""
"    Estimate","2,110","299","254","104","0","277","0","1,176"
"    Margin of Error","±462","±313","±203","±103","±12","±314","±12","±328"
"Block Group 1, Census Tract 731.21, Pierce County, Washington","","","","","","","",""
"    Estimate","2,324","41","42","0","328","223","0","1,690"
"    Margin of Error","±527","±64","±68","±12","±440","±181","±12","±357"
"Block Group 2, Census Tract 731.21, Pierce County, Washington","","","","","","","",""
"    Estimate","2,744","8","0","0","0","21","0","2,715"
"    Margin of Error","±344","±13","±12","±12","±12","±23","±12","±346"
"Block Group 1, Census Tract 731.22, Pierce County, Washington","","","","","","","",""
"    Estimate","1,338","61","99","0","47","179","0","952"
"    Margin of Error","±307","±61","±96","±12","±75","±154","±12","±250"
"Block Group 2, Census Tract 731.22, Pierce County, Washington","","","","","","","",""
"    Estimate","2,946","156","65","0","11","245","44","2,425"
"    Margin of Error","±365","±126","±63","±12","±19","±228","±73","±378"
"Block Group 1, Census Tract 731.23, Pierce County, Washington","","","","","","","",""
"    Estimate","3,226","29","35","8","202","72","0","2,880"
"    Margin of Error","±296","±26","±56","±14","±269","±80","±12","±406"
"Block Group 2, Census Tract 731.23, Pierce County, Washington","","","","","","","",""
"    Estimate","1,643","108","5","276","16","130","70","1,038"
"    Margin of Error","±386","±118","±6","±347","±21","±113","±110","±266"
"Block Group 1, Census Tract 731.24, Pierce County, Washington","","","","","","","",""
"    Estimate","933","12","0","148","66","67","0","640"
"    Margin of Error","±275","±18","±12","±152","±89","±75","±12","±247"
"Block Group 2, Census Tract 731.24, Pierce County, Washington","","","","","","","",""
"    Estimate","2,557","87","41","72","53","278","0","2,026"
"    Margin of Error","±354","±57","±36","±85","±58","±258","±12","±341"
"Block Group 1, Census Tract 731.25, Pierce County, Washington","","","","","","","",""
"    Estimate","4,449","155","94","0","257","622","0","3,321"
"    Margin of Error","±901","±138","±100","±12","±240","±494","±12","±806"
"Block Group 2, Census Tract 731.25, Pierce County, Washington","","","","","","","",""
"    Estimate","1,599","40","164","16","0","0","0","1,379"
"    Margin of Error","±621","±62","±182","±25","±12","±12","±12","±612"
"Block Group 3, Census Tract 731.25, Pierce County, Washington","","","","","","","",""
"    Estimate","3,573","244","368","22","239","228","50","2,422"
"    Margin of Error","±642","±255","±398","±37","±232","±211","±78","±552"
"Block Group 1, Census Tract 731.26, Pierce County, Washington","","","","","","","",""
"    Estimate","4,173","143","250","0","52","358","232","3,138"
"    Margin of Error","±429","±87","±286","±12","±83","±271","±180","±459"
"Block Group 1, Census Tract 732, Pierce County, Washington","","","","","","","",""
"    Estimate","1,349","0","13","9","41","103","78","1,105"
"    Margin of Error","±222","±12","±15","±10","±43","±103","±115","±217"
"Block Group 2, Census Tract 732, Pierce County, Washington","","","","","","","",""
"    Estimate","824","39","28","21","41","2","0","693"
"    Margin of Error","±293","±44","±44","±24","±35","±4","±12","±268"
"Block Group 3, Census Tract 732, Pierce County, Washington","","","","","","","",""
"    Estimate","1,313","78","82","14","109","42","120","868"
"    Margin of Error","±308","±64","±75","±21","±114","±70","±106","±272"
"Block Group 4, Census Tract 732, Pierce County, Washington","","","","","","","",""
"    Estimate","2,032","92","314","28","94","122","20","1,362"
"    Margin of Error","±417","±69","±208","±36","±88","±110","±21","±326"
"Block Group 1, Census Tract 733.01, Pierce County, Washington","","","","","","","",""
"    Estimate","3,266","84","362","130","175","129","156","2,230"
"    Margin of Error","±378","±78","±277","±142","±167","±85","±224","±429"
"Block Group 2, Census Tract 733.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,331","135","64","329","121","119","47","516"
"    Margin of Error","±381","±173","±74","±294","±136","±94","±55","±181"
"Block Group 3, Census Tract 733.01, Pierce County, Washington","","","","","","","",""
"    Estimate","207","0","0","0","0","0","29","178"
"    Margin of Error","±105","±12","±12","±12","±12","±12","±51","±91"
"Block Group 4, Census Tract 733.01, Pierce County, Washington","","","","","","","",""
"    Estimate","916","281","27","19","46","28","15","500"
"    Margin of Error","±292","±217","±32","±29","±58","±44","±24","±174"
"Block Group 1, Census Tract 733.02, Pierce County, Washington","","","","","","","",""
"    Estimate","1,261","63","25","0","38","151","0","984"
"    Margin of Error","±255","±74","±39","±12","±38","±223","±12","±211"
"Block Group 2, Census Tract 733.02, Pierce County, Washington","","","","","","","",""
"    Estimate","1,311","11","38","106","21","31","0","1,104"
"    Margin of Error","±244","±17","±53","±67","±25","±36","±12","±252"
"Block Group 3, Census Tract 733.02, Pierce County, Washington","","","","","","","",""
"    Estimate","1,155","15","18","0","18","8","10","1,086"
"    Margin of Error","±285","±18","±19","±12","±19","±12","±15","±296"
"Block Group 1, Census Tract 734.04, Pierce County, Washington","","","","","","","",""
"    Estimate","1,338","23","176","57","80","51","0","951"
"    Margin of Error","±282","±32","±155","±69","±72","±94","±12","±261"
"Block Group 2, Census Tract 734.04, Pierce County, Washington","","","","","","","",""
"    Estimate","692","117","88","15","37","51","0","384"
"    Margin of Error","±298","±103","±74","±25","±42","±56","±12","±195"
"Block Group 3, Census Tract 734.04, Pierce County, Washington","","","","","","","",""
"    Estimate","706","47","26","44","0","26","0","563"
"    Margin of Error","±197","±65","±29","±49","±12","±42","±12","±218"
"Block Group 4, Census Tract 734.04, Pierce County, Washington","","","","","","","",""
"    Estimate","1,034","0","67","23","0","105","31","808"
"    Margin of Error","±226","±12","±76","±35","±12","±122","±47","±204"
"Block Group 5, Census Tract 734.04, Pierce County, Washington","","","","","","","",""
"    Estimate","1,863","73","37","60","56","0","0","1,637"
"    Margin of Error","±332","±85","±59","±89","±63","±12","±12","±320"
"Block Group 1, Census Tract 734.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,828","50","60","253","27","163","42","1,233"
"    Margin of Error","±331","±46","±73","±246","±29","±185","±64","±357"
"Block Group 2, Census Tract 734.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,431","155","40","72","43","107","52","962"
"    Margin of Error","±287","±112","±31","±82","±48","±113","±56","±251"
"Block Group 1, Census Tract 734.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,712","89","124","0","111","4","65","1,319"
"    Margin of Error","±296","±80","±186","±12","±146","±9","±105","±250"
"Block Group 2, Census Tract 734.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,458","12","48","19","74","30","76","1,199"
"    Margin of Error","±294","±18","±56","±30","±117","±47","±63","±306"
"Block Group 3, Census Tract 734.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,774","73","38","38","167","133","0","1,325"
"    Margin of Error","±311","±61","±43","±60","±170","±119","±12","±277"
"Block Group 1, Census Tract 734.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,483","251","62","0","16","202","14","938"
"    Margin of Error","±334","±322","±73","±12","±22","±201","±24","±257"
"Block Group 2, Census Tract 734.07, Pierce County, Washington","","","","","","","",""
"    Estimate","943","53","48","166","28","18","0","630"
"    Margin of Error","±306","±43","±53","±205","±28","±20","±12","±204"
"Block Group 3, Census Tract 734.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,238","22","19","108","61","55","0","973"
"    Margin of Error","±271","±33","±21","±142","±50","±57","±12","±248"
"Block Group 1, Census Tract 734.08, Pierce County, Washington","","","","","","","",""
"    Estimate","2,117","206","82","72","40","241","89","1,387"
"    Margin of Error","±320","±208","±73","±80","±50","±204","±102","±264"
"Block Group 2, Census Tract 734.08, Pierce County, Washington","","","","","","","",""
"    Estimate","994","0","22","47","10","27","0","888"
"    Margin of Error","±167","±12","±34","±56","±15","±28","±12","±171"
"Block Group 3, Census Tract 734.08, Pierce County, Washington","","","","","","","",""
"    Estimate","826","93","23","9","89","131","28","453"
"    Margin of Error","±202","±89","±20","±14","±71","±141","±30","±135"
"Block Group 1, Census Tract 735, Pierce County, Washington","","","","","","","",""
"    Estimate","1,185","37","23","0","3","96","32","994"
"    Margin of Error","±258","±45","±29","±12","±7","±151","±47","±226"
"Block Group 2, Census Tract 735, Pierce County, Washington","","","","","","","",""
"    Estimate","1,282","24","107","16","119","38","31","947"
"    Margin of Error","±285","±37","±89","±26","±158","±50","±51","±286"
"Block Group 3, Census Tract 735, Pierce County, Washington","","","","","","","",""
"    Estimate","1,052","0","19","55","149","0","0","829"
"    Margin of Error","±310","±12","±37","±64","±231","±12","±12","±285"
"Block Group 4, Census Tract 735, Pierce County, Washington","","","","","","","",""
"    Estimate","880","16","0","0","30","0","0","834"
"    Margin of Error","±244","±26","±12","±12","±44","±12","±12","±229"
"Block Group 5, Census Tract 735, Pierce County, Washington","","","","","","","",""
"    Estimate","1,365","15","0","310","0","386","0","654"
"    Margin of Error","±468","±28","±12","±356","±12","±426","±12","±262"
"Block Group 6, Census Tract 735, Pierce County, Washington","","","","","","","",""
"    Estimate","1,406","127","127","0","0","113","0","1,039"
"    Margin of Error","±357","±186","±128","±12","±12","±175","±12","±298"
"Block Group 1, Census Tract 9400.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,378","59","31","21","6","57","37","1,167"
"    Margin of Error","±138","±46","±32","±16","±10","±41","±30","±134"
"Block Group 2, Census Tract 9400.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,303","18","15","12","53","69","3","1,133"
"    Margin of Error","±172","±14","±15","±12","±80","±85","±5","±170"
"Block Group 1, Census Tract 9400.02, Pierce County, Washington","","","","","","","",""
"    Estimate","1,469","20","148","38","29","73","3","1,158"
"    Margin of Error","±229","±17","±85","±37","±19","±37","±4","±223"
"Block Group 2, Census Tract 9400.02, Pierce County, Washington","","","","","","","",""
"    Estimate","1,149","76","186","20","48","31","23","765"
"    Margin of Error","±202","±66","±91","±19","±38","±23","±18","±193"
"Block Group 3, Census Tract 9400.02, Pierce County, Washington","","","","","","","",""
"    Estimate","1,120","114","90","38","14","136","19","709"
"    Margin of Error","±181","±76","±64","±43","±16","±74","±27","±136"
"Block Group 1, Census Tract 9400.03, Pierce County, Washington","","","","","","","",""
"    Estimate","3,337","88","72","22","127","278","100","2,650"
"    Margin of Error","±321","±56","±41","±25","±121","±149","±76","±331"
"Block Group 2, Census Tract 9400.03, Pierce County, Washington","","","","","","","",""
"    Estimate","1,605","34","96","28","201","130","14","1,102"
"    Margin of Error","±291","±18","±55","±36","±186","±89","±11","±214"
"Block Group 3, Census Tract 9400.03, Pierce County, Washington","","","","","","","",""
"    Estimate","2,228","206","313","112","123","208","42","1,224"
"    Margin of Error","±304","±95","±177","±94","±107","±108","±26","±251"
"Block Group 1, Census Tract 9400.04, Pierce County, Washington","","","","","","","",""
"    Estimate","1,467","5","114","0","92","0","80","1,176"
"    Margin of Error","±381","±8","±103","±12","±101","±12","±119","±388"
"Block Group 2, Census Tract 9400.04, Pierce County, Washington","","","","","","","",""
"    Estimate","559","0","0","25","0","30","0","504"
"    Margin of Error","±168","±12","±12","±26","±12","±44","±12","±186"
"Block Group 3, Census Tract 9400.04, Pierce County, Washington","","","","","","","",""
"    Estimate","839","60","46","25","66","54","31","557"
"    Margin of Error","±132","±40","±30","±22","±46","±29","±23","±120"
"Block Group 4, Census Tract 9400.04, Pierce County, Washington","","","","","","","",""
"    Estimate","805","6","20","59","37","52","35","596"
"    Margin of Error","±140","±7","±21","±41","±35","±43","±31","±134"
"Block Group 5, Census Tract 9400.04, Pierce County, Washington","","","","","","","",""
"    Estimate","1,237","14","38","52","16","30","24","1,063"
"    Margin of Error","±146","±17","±30","±51","±14","±23","±34","±143"
"Block Group 6, Census Tract 9400.04, Pierce County, Washington","","","","","","","",""
"    Estimate","1,429","31","48","29","31","87","46","1,157"
"    Margin of Error","±194","±22","±47","±54","±27","±64","±40","±186"
"Block Group 1, Census Tract 9400.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,500","54","79","21","36","71","36","1,203"
"    Margin of Error","±214","±44","±57","±17","±36","±51","±33","±206"
"Block Group 2, Census Tract 9400.05, Pierce County, Washington","","","","","","","",""
"    Estimate","2,122","60","106","68","80","116","84","1,608"
"    Margin of Error","±262","±45","±74","±42","±85","±81","±96","±228"
"Block Group 3, Census Tract 9400.05, Pierce County, Washington","","","","","","","",""
"    Estimate","2,211","155","101","42","66","70","43","1,734"
"    Margin of Error","±287","±129","±112","±55","±69","±55","±30","±219"
"Block Group 1, Census Tract 9400.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,526","437","267","51","67","179","69","456"
"    Margin of Error","±262","±225","±108","±35","±43","±89","±71","±191"
"Block Group 2, Census Tract 9400.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,351","583","356","102","93","42","0","175"
"    Margin of Error","±206","±169","±133","±78","±59","±35","±12","±104"
"Block Group 1, Census Tract 9400.07, Pierce County, Washington","","","","","","","",""
"    Estimate","752","113","96","100","11","109","9","314"
"    Margin of Error","±181","±87","±91","±69","±11","±120","±10","±122"
"Block Group 2, Census Tract 9400.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,232","86","170","87","69","150","31","639"
"    Margin of Error","±257","±70","±102","±57","±60","±156","±44","±171"
"Block Group 3, Census Tract 9400.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,135","107","227","87","102","46","80","486"
"    Margin of Error","±181","±54","±126","±66","±79","±45","±72","±164"
"Block Group 1, Census Tract 9400.08, Pierce County, Washington","","","","","","","",""
"    Estimate","2,761","121","125","58","75","153","37","2,192"
"    Margin of Error","±233","±59","±74","±50","±45","±122","±27","±215"
"Block Group 2, Census Tract 9400.08, Pierce County, Washington","","","","","","","",""
"    Estimate","2,031","9","164","86","98","49","120","1,505"
"    Margin of Error","±266","±12","±108","±93","±61","±41","±110","±246"
"Block Group 3, Census Tract 9400.08, Pierce County, Washington","","","","","","","",""
"    Estimate","1,266","6","64","5","15","30","13","1,133"
"    Margin of Error","±128","±8","±51","±7","±17","±19","±12","±132"
"Block Group 1, Census Tract 9400.09, Pierce County, Washington","","","","","","","",""
"    Estimate","1,722","41","53","70","161","72","12","1,313"
"    Margin of Error","±236","±22","±27","±90","±144","±74","±18","±177"
"Block Group 2, Census Tract 9400.09, Pierce County, Washington","","","","","","","",""
"    Estimate","1,083","25","3","0","10","32","15","998"
"    Margin of Error","±197","±31","±7","±12","±14","±34","±24","±180"
"Block Group 1, Census Tract 9400.10, Pierce County, Washington","","","","","","","",""
"    Estimate","1,944","182","39","79","15","53","187","1,389"
"    Margin of Error","±391","±152","±37","±93","±15","±53","±225","±325"
"Block Group 2, Census Tract 9400.10, Pierce County, Washington","","","","","","","",""
"    Estimate","1,502","175","69","70","53","88","35","1,012"
"    Margin of Error","±241","±137","±44","±54","±57","±70","±45","±211"
"Block Group 3, Census Tract 9400.10, Pierce County, Washington","","","","","","","",""
"    Estimate","598","47","94","32","0","28","7","390"
"    Margin of Error","±157","±49","±123","±23","±12","±22","±10","±101"
"Block Group 1, Census Tract 9400.11, Pierce County, Washington","","","","","","","",""
"    Estimate","1,446","61","17","13","48","4","4","1,299"
"    Margin of Error","±169","±38","±15","±10","±58","±7","±7","±151"
"Block Group 2, Census Tract 9400.11, Pierce County, Washington","","","","","","","",""
"    Estimate","1,802","25","12","2","34","3","0","1,726"
"    Margin of Error","±152","±21","±11","±5","±34","±4","±12","±159"
"Block Group 3, Census Tract 9400.11, Pierce County, Washington","","","","","","","",""
"    Estimate","1,014","12","7","10","50","73","0","862"
"    Margin of Error","±145","±10","±7","±9","±48","±56","±12","±136"
