"Label (Grouping)","Total:","Total:!!Under .50","Total:!!.50 to .99","Total:!!1.00 to 1.24","Total:!!1.25 to 1.49","Total:!!1.50 to 1.84","Total:!!1.85 to 1.99","Total:!!2.00 and over"
"Block Group 5, Census Tract 608, Pierce County, Washington","","","","","","","",""
"    Estimate","817","16","50","13","0","12","0","726"
"    Margin of Error","±297","±25","±75","±21","±12","±20","±12","±325"
"Block Group 6, Census Tract 608, Pierce County, Washington","","","","","","","",""
"    Estimate","1,037","99","31","29","83","80","0","715"
"    Margin of Error","±303","±132","±36","±47","±136","±91","±12","±352"
"Block Group 7, Census Tract 608, Pierce County, Washington","","","","","","","",""
"    Estimate","588","0","0","0","0","0","0","588"
"    Margin of Error","±135","±12","±12","±12","±12","±12","±12","±135"
"Block Group 1, Census Tract 609.03, Pierce County, Washington","","","","","","","",""
"    Estimate","1,083","225","212","0","0","67","19","560"
"    Margin of Error","±478","±348","±204","±12","±12","±76","±21","±164"
"Block Group 2, Census Tract 609.03, Pierce County, Washington","","","","","","","",""
"    Estimate","995","36","68","39","60","38","31","723"
"    Margin of Error","±176","±38","±31","±52","±60","±37","±37","±163"
"Block Group 3, Census Tract 609.03, Pierce County, Washington","","","","","","","",""
"    Estimate","1,248","31","24","0","0","60","0","1,133"
"    Margin of Error","±235","±36","±26","±12","±12","±48","±12","±242"
"Block Group 1, Census Tract 609.04, Pierce County, Washington","","","","","","","",""
"    Estimate","650","15","0","31","18","32","0","554"
"    Margin of Error","±261","±25","±12","±49","±29","±49","±12","±268"
"Block Group 2, Census Tract 609.04, Pierce County, Washington","","","","","","","",""
"    Estimate","2,406","246","251","253","16","315","50","1,275"
"    Margin of Error","±457","±204","±212","±295","±26","±214","±47","±349"
"Block Group 3, Census Tract 609.04, Pierce County, Washington","","","","","","","",""
"    Estimate","750","41","2","14","0","132","145","416"
"    Margin of Error","±328","±71","±3","±24","±12","±185","±235","±201"
"Block Group 4, Census Tract 609.04, Pierce County, Washington","","","","","","","",""
"    Estimate","1,260","219","248","72","76","49","53","543"
"    Margin of Error","±296","±190","±159","±73","±71","±40","±87","±158"
"Block Group 1, Census Tract 609.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,961","73","551","124","104","192","130","787"
"    Margin of Error","±378","±72","±340","±94","±93","±131","±118","±307"
"Block Group 2, Census Tract 609.05, Pierce County, Washington","","","","","","","",""
"    Estimate","729","32","31","6","44","71","6","539"
"    Margin of Error","±287","±41","±47","±13","±41","±60","±13","±241"
"Block Group 3, Census Tract 609.05, Pierce County, Washington","","","","","","","",""
"    Estimate","765","21","51","0","42","59","0","592"
"    Margin of Error","±239","±23","±55","±12","±67","±60","±12","±224"
"Block Group 4, Census Tract 609.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,683","78","87","85","30","0","43","1,360"
"    Margin of Error","±359","±96","±70","±136","±34","±12","±33","±355"
"Block Group 5, Census Tract 609.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,092","25","27","22","0","0","30","988"
"    Margin of Error","±259","±38","±39","±38","±12","±12","±34","±258"
"Block Group 1, Census Tract 609.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,465","56","17","50","56","66","35","1,185"
"    Margin of Error","±134","±45","±13","±38","±59","±45","±52","±165"
"Block Group 2, Census Tract 609.06, Pierce County, Washington","","","","","","","",""
"    Estimate","715","50","21","4","19","132","0","489"
"    Margin of Error","±173","±55","±24","±7","±29","±148","±12","±120"
"Block Group 1, Census Tract 610.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,017","53","92","117","64","128","14","549"
"    Margin of Error","±223","±44","±72","±130","±52","±113","±17","±156"
"Block Group 2, Census Tract 610.01, Pierce County, Washington","","","","","","","",""
"    Estimate","794","47","0","6","0","38","0","703"
"    Margin of Error","±164","±60","±12","±10","±12","±61","±12","±165"
"Block Group 3, Census Tract 610.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,791","39","34","41","26","15","20","1,616"
"    Margin of Error","±255","±41","±32","±37","±35","±21","±34","±245"
"Block Group 1, Census Tract 610.02, Pierce County, Washington","","","","","","","",""
"    Estimate","1,770","174","122","139","275","482","0","578"
"    Margin of Error","±495","±204","±97","±147","±230","±495","±12","±233"
"Block Group 2, Census Tract 610.02, Pierce County, Washington","","","","","","","",""
"    Estimate","810","0","9","11","37","0","11","742"
"    Margin of Error","±297","±12","±22","±19","±45","±12","±15","±300"
"Block Group 3, Census Tract 610.02, Pierce County, Washington","","","","","","","",""
"    Estimate","938","76","61","67","112","24","17","581"
"    Margin of Error","±200","±71","±58","±67","±81","±27","±20","±169"
"Block Group 4, Census Tract 610.02, Pierce County, Washington","","","","","","","",""
"    Estimate","605","4","19","46","18","84","0","434"
"    Margin of Error","±232","±9","±31","±50","±64","±126","±12","±196"
"Block Group 1, Census Tract 611, Pierce County, Washington","","","","","","","",""
"    Estimate","1,299","0","0","35","161","92","0","1,011"
"    Margin of Error","±394","±12","±12","±57","±201","±111","±12","±400"
"Block Group 2, Census Tract 611, Pierce County, Washington","","","","","","","",""
"    Estimate","494","0","117","30","0","0","0","347"
